Monitoreo,Nombre_punto,Norte,Este,Elevacion,Fecha,Altura_tanque,Nivel_tanque
0,PUNTO - 1 = 127º,410.571,437.933,100.32,5 DE ABRIL 2013,3.17,0
0,PUNTO - 2,403.362,431.078,100.331,5 DE ABRIL 2013,3.17,0
0,PUNTO - 3,397.761,422.847,100.337,5 DE ABRIL 2013,3.17,0
0,PUNTO - 4,394.056,413.629,100.341,5 DE ABRIL 2013,3.17,0
0,PUNTO - 5,392.382,403.848,100.339,5 DE ABRIL 2013,3.17,0
0,PUNTO - 6,392.836,393.925,100.318,5 DE ABRIL 2013,3.17,0
0,PUNTO - 7,395.405,384.331,100.298,5 DE ABRIL 2013,3.17,0
0,PUNTO - 8,399.966,375.502,100.294,5 DE ABRIL 2013,3.17,0
0,PUNTO - 9,406.378,367.725,100.305,5 DE ABRIL 2013,3.17,0
0,PUNTO - 10,411.158,363.664,100.313,5 DE ABRIL 2013,3.17,0
0,PUNTO - 11,419.738,358.654,100.336,5 DE ABRIL 2013,3.17,0
0,PUNTO - 12,429.185,355.587,100.332,5 DE ABRIL 2013,3.17,0
0,PUNTO - 13,439.113,354.607,100.321,5 DE ABRIL 2013,3.17,0
0,PUNTO - 14,448.975,355.756,100.311,5 DE ABRIL 2013,3.17,0
0,PUNTO - 15,458.354,358.972,100.307,5 DE ABRIL 2013,3.17,0
0,PUNTO - 16,466.865,364.119,100.3,5 DE ABRIL 2013,3.17,0
0,PUNTO - 17,474.075,370.971,100.294,5 DE ABRIL 2013,3.17,0
0,PUNTO - 18,479.666,379.193,100.291,5 DE ABRIL 2013,3.17,0
0,PUNTO - 19,483.346,388.433,100.295,5 DE ABRIL 2013,3.17,0
0,PUNTO - 20,484.997,398.206,100.305,5 DE ABRIL 2013,3.17,0
0,PUNTO - 21,484.501,408.27,100.316,5 DE ABRIL 2013,3.17,0
0,PUNTO - 22,482.093,417.917,100.305,5 DE ABRIL 2013,3.17,0
0,PUNTO - 23,477.404,426.597,100.291,5 DE ABRIL 2013,3.17,0
0,PUNTO - 24,471.086,434.245,100.293,5 DE ABRIL 2013,3.17,0
0,PUNTO - 25,463.245,440.389,100.295,5 DE ABRIL 2013,3.17,0
0,PUNTO - 26,454.272,444.717,100.29,5 DE ABRIL 2013,3.17,0
0,PUNTO - 27,444.897,446.975,100.288,5 DE ABRIL 2013,3.17,0
0,PUNTO - 28,434.972,447.215,100.289,5 DE ABRIL 2013,3.17,0
0,PUNTO - 29,425.224,445.378,100.297,5 DE ABRIL 2013,3.17,0
0,PUNTO - 30,416.079,441.504,100.31,5 DE ABRIL 2013,3.17,0
8,PUNTO - 1 = 127º,410.57,437.934,100.32,5 de Septiembre,3.204,0
8,PUNTO - 2,403.36,431.079,100.33,5 de Septiembre,3.204,0
8,PUNTO - 3,397.76,422.847,100.335,5 de Septiembre,3.204,0
8,PUNTO - 4,394.057,413.628,100.34,5 de Septiembre,3.204,0
8,PUNTO - 5,392.382,403.848,100.339,5 de Septiembre,3.204,0
8,PUNTO - 6,392.836,393.924,100.317,5 de Septiembre,3.204,0
8,PUNTO - 7,395.404,384.33,100.299,5 de Septiembre,3.204,0
8,PUNTO - 8,399.966,375.501,100.291,5 de Septiembre,3.204,0
8,PUNTO - 9,406.377,367.726,100.303,5 de Septiembre,3.204,0
8,PUNTO - 10,411.156,363.662,100.31,5 de Septiembre,3.204,0
8,PUNTO - 11,419.737,358.654,100.333,5 de Septiembre,3.204,0
8,PUNTO - 12,429.183,355.583,100.329,5 de Septiembre,3.204,0
8,PUNTO - 13,439.11,354.603,100.319,5 de Septiembre,3.204,0
8,PUNTO - 14,448.975,355.753,100.308,5 de Septiembre,3.204,0
8,PUNTO - 15,458.351,358.969,100.306,5 de Septiembre,3.204,0
8,PUNTO - 16,466.862,364.117,100.297,5 de Septiembre,3.204,0
8,PUNTO - 17,474.071,370.968,100.292,5 de Septiembre,3.204,0
8,PUNTO - 18,479.665,379.193,100.288,5 de Septiembre,3.204,0
8,PUNTO - 19,483.345,388.43,100.292,5 de Septiembre,3.204,0
8,PUNTO - 20,484.996,398.204,100.302,5 de Septiembre,3.204,0
8,PUNTO - 21,484.5,408.269,100.313,5 de Septiembre,3.204,0
8,PUNTO - 22,482.09,417.913,100.303,5 de Septiembre,3.204,0
8,PUNTO - 23,477.401,426.592,100.289,5 de Septiembre,3.204,0
8,PUNTO - 24,471.083,434.245,100.288,5 de Septiembre,3.204,0
8,PUNTO - 25,463.243,440.389,100.29,5 de Septiembre,3.204,0
8,PUNTO - 26,454.27,444.716,100.285,5 de Septiembre,3.204,0
8,PUNTO - 27,444.895,446.975,100.283,5 de Septiembre,3.204,0
8,PUNTO - 28,434.97,447.215,100.284,5 de Septiembre,3.204,0
8,PUNTO - 29,425.222,445.377,100.293,5 de Septiembre,3.204,0
8,PUNTO - 30,416.077,441.504,100.306,5 de Septiembre,3.204,0
9,PUNTO - 1 = 127º,410.57,437.93,100.321,16 de Octubre,2.788,0
9,PUNTO - 2,403.36,431.077,100.331,16 de Octubre,2.788,0
9,PUNTO - 3,397.76,422.844,100.338,16 de Octubre,2.788,0
9,PUNTO - 4,394.056,413.626,100.341,16 de Octubre,2.788,0
9,PUNTO - 5,392.38,403.845,100.34,16 de Octubre,2.788,0
9,PUNTO - 6,392.835,393.923,100.319,16 de Octubre,2.788,0
9,PUNTO - 7,395.404,384.329,100.3,16 de Octubre,2.788,0
9,PUNTO - 8,399.965,375.5,100.293,16 de Octubre,2.788,0
9,PUNTO - 9,406.376,367.723,100.306,16 de Octubre,2.788,0
9,PUNTO - 10,411.155,363.66,100.314,16 de Octubre,2.788,0
9,PUNTO - 11,419.736,358.652,100.336,16 de Octubre,2.788,0
9,PUNTO - 12,429.183,355.585,100.332,16 de Octubre,2.788,0
9,PUNTO - 13,439.111,354.605,100.322,16 de Octubre,2.788,0
9,PUNTO - 14,448.975,355.754,100.311,16 de Octubre,2.788,0
9,PUNTO - 15,458.353,358.969,100.308,16 de Octubre,2.788,0
9,PUNTO - 16,466.864,364.117,100.3,16 de Octubre,2.788,0
9,PUNTO - 17,474.074,370.968,100.294,16 de Octubre,2.788,0
9,PUNTO - 18,479.664,379.191,100.289,16 de Octubre,2.788,0
9,PUNTO - 19,483.345,388.433,100.294,16 de Octubre,2.788,0
9,PUNTO - 20,484.997,398.205,100.304,16 de Octubre,2.788,0
9,PUNTO - 21,484.501,408.269,100.316,16 de Octubre,2.788,0
9,PUNTO - 22,482.093,417.914,100.305,16 de Octubre,2.788,0
9,PUNTO - 23,477.405,426.593,100.29,16 de Octubre,2.788,0
9,PUNTO - 24,471.085,434.243,100.292,16 de Octubre,2.788,0
9,PUNTO - 25,463.245,440.387,100.294,16 de Octubre,2.788,0
9,PUNTO - 26,454.272,444.714,100.289,16 de Octubre,2.788,0
9,PUNTO - 27,444.896,446.973,100.286,16 de Octubre,2.788,0
9,PUNTO - 28,434.972,447.211,100.287,16 de Octubre,2.788,0
9,PUNTO - 29,425.224,445.373,100.296,16 de Octubre,2.788,0
9,PUNTO - 30,416.079,441.501,100.31,16 de Octubre,2.788,0
10,PUNTO - 1 = 127º,410.568,437.93,100.321,14 de Noviembre,3.172,0
10,PUNTO - 2,403.358,431.076,100.331,14 de Noviembre,3.172,0
10,PUNTO - 3,397.758,422.844,100.337,14 de Noviembre,3.172,0
10,PUNTO - 4,394.053,413.626,100.341,14 de Noviembre,3.172,0
10,PUNTO - 5,392.377,403.845,100.34,14 de Noviembre,3.172,0
10,PUNTO - 6,392.833,393.922,100.319,14 de Noviembre,3.172,0
10,PUNTO - 7,395.402,384.328,100.3,14 de Noviembre,3.172,0
10,PUNTO - 8,399.962,375.499,100.293,14 de Noviembre,3.172,0
10,PUNTO - 9,406.374,367.723,100.306,14 de Noviembre,3.172,0
10,PUNTO - 10,411.153,363.66,100.314,14 de Noviembre,3.172,0
10,PUNTO - 11,419.734,358.652,100.337,14 de Noviembre,3.172,0
10,PUNTO - 12,429.179,355.582,100.332,14 de Noviembre,3.172,0
10,PUNTO - 13,439.106,354.601,100.322,14 de Noviembre,3.172,0
10,PUNTO - 14,448.971,355.75,100.311,14 de Noviembre,3.172,0
10,PUNTO - 15,458.348,358.966,100.309,14 de Noviembre,3.172,0
10,PUNTO - 16,466.86,364.114,100.3,14 de Noviembre,3.172,0
10,PUNTO - 17,474.071,370.964,100.295,14 de Noviembre,3.172,0
10,PUNTO - 18,479.66,379.188,100.291,14 de Noviembre,3.172,0
10,PUNTO - 19,483.342,388.427,100.295,14 de Noviembre,3.172,0
10,PUNTO - 20,484.993,398.2,100.306,14 de Noviembre,3.172,0
10,PUNTO - 21,484.497,408.265,100.317,14 de Noviembre,3.172,0
10,PUNTO - 22,482.09,417.91,100.306,14 de Noviembre,3.172,0
