Monitoreo,Nombre_punto,Ubicacion_puntos,Norte,Este,Elevacion,Fecha,Altura_tanque,Nivel_tanque
0,DQ - 1,dique del cubeto de los tanques,353.678,417.963,101.527,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 2,dique del cubeto de los tanques,353.678,408.711,101.515,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 3,dique del cubeto de los tanques,353.665,396.656,101.473,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 4,dique del cubeto de los tanques,355.975,391.033,101.434,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 5,dique del cubeto de los tanques,373.785,373.169,101.441,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 6,dique del cubeto de los tanques,385.417,361.594,101.47,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 7,dique del cubeto de los tanques,398.811,348.222,101.504,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 8,dique del cubeto de los tanques,409.321,337.814,101.533,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 9,dique del cubeto de los tanques,453.228,334.878,101.546,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 10,dique del cubeto de los tanques,461.875,334.868,101.527,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 11,dique del cubeto de los tanques,468.081,337.52,101.527,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 12,dique del cubeto de los tanques,477.66,347.12,101.523,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 13,dique del cubeto de los tanques,488.005,357.383,101.418,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 14,dique del cubeto de los tanques,494.207,363.559,101.38,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 15,dique del cubeto de los tanques,501.129,370.635,101.504,5 DE ABRIL DEL 2013,3.17,0
0,DQ - 16,dique del cubeto de los tanques,507.599,376.928,101.541,5 DE ABRIL DEL 2013,3.17,0
0,PC - 1,borde cuneta perimetral,327.863,418.465,99.093,5 DE ABRIL DEL 2013,3.17,0
0,PC - 2,borde cuneta perimetral,330.013,392.046,98.213,5 DE ABRIL DEL 2013,3.17,0
0,PC - 3,borde cuneta perimetral,335.626,384.343,98.161,5 DE ABRIL DEL 2013,3.17,0
0,PC - 4,borde cuneta perimetral,360.358,359.66,98.175,5 DE ABRIL DEL 2013,3.17,0
0,PC - 5,borde cuneta perimetral,371.406,348.614,98.2,5 DE ABRIL DEL 2013,3.17,0
0,PC - 6,borde cuneta perimetral,395.722,324.336,98.293,5 DE ABRIL DEL 2013,3.17,0
0,PC - 7,borde cuneta perimetral,481.854,325.049,98.311,5 DE ABRIL DEL 2013,3.17,0
0,PC - 8,borde cuneta perimetral,490.427,333.634,98.262,5 DE ABRIL DEL 2013,3.17,0
0,PC - 9,borde cuneta perimetral,501.769,344.966,98.21,5 DE ABRIL DEL 2013,3.17,0
0,PC - 10,borde cuneta perimetral,509.464,352.663,98.183,5 DE ABRIL DEL 2013,3.17,0
0,PC - 11,borde cuneta perimetral,518.826,361.98,98.261,5 DE ABRIL DEL 2013,3.17,0
0,PC - 12,borde cuneta perimetral,530.023,373.217,98.309,5 DE ABRIL DEL 2013,3.17,0
0,SP - 1,soportes de concreto para tuberias,495.213,351.372,98.615,5 DE ABRIL DEL 2013,3.17,0
0,SP - 3,soportes de concreto para tuberias,500.829,356.995,98.553,5 DE ABRIL DEL 2013,3.17,0
0,SP - 5,soportes de concreto para tuberias,506.445,362.611,98.622,5 DE ABRIL DEL 2013,3.17,0
0,SP - 7,soportes de concreto para tuberias,397.571,353.214,100.526,5 DE ABRIL DEL 2013,3.17,0
0,SP - 8,soportes de concreto para tuberias,401.777,357.414,100.552,5 DE ABRIL DEL 2013,3.17,0
0,SP - 9,soportes de concreto para tuberias,379.445,378.351,100.265,5 DE ABRIL DEL 2013,3.17,0
0,SP - 10,soportes de concreto para tuberias,375.769,374.641,100.214,5 DE ABRIL DEL 2013,3.17,0
0,INC - 1,Inclinómetro / Asentamiento,499.972,353.987,98.367,5 DE ABRIL DEL 2013,3.17,0
0,INC - 1,Inclinómetro / Asentamiento,499.955,353.831,98.368,5 DE ABRIL DEL 2013,3.17,0
0,INC - 3 & AST - 3,Inclinómetro / Asentamiento,400.435,435.047,100.091,5 DE ABRIL DEL 2013,3.17,0
0,INC - 3 & AST - 3,Inclinómetro / Asentamiento,400.343,435.096,100.098,5 DE ABRIL DEL 2013,3.17,0
0,INC - 4 & AST - 1,Inclinómetro / Asentamiento,479.579,369.726,100.154,5 DE ABRIL DEL 2013,3.17,0
0,INC - 4 & AST - 1,Inclinómetro / Asentamiento,479.533,369.904,100.08,5 DE ABRIL DEL 2013,3.17,0
0,INC - 5 & AST - 2,Inclinómetro / Asentamiento,484.452,364.428,99.945,5 DE ABRIL DEL 2013,3.17,0
0,INC - 5 & AST - 2,Inclinómetro / Asentamiento,484.41,364.559,99.871,5 DE ABRIL DEL 2013,3.17,0
0,INC - 6 & AST - 4,Inclinómetro / Asentamiento,387.342,369.754,100.246,5 DE ABRIL DEL 2013,3.17,0
0,INC - 6 & AST - 4,Inclinómetro / Asentamiento,387.364,369.873,100.026,5 DE ABRIL DEL 2013,3.17,0
8,DQ - 1,dique del cubeto de los tanques,353.674,417.962,101.527,5 de Septiembre 2013,3.204,0
8,DQ - 2,dique del cubeto de los tanques,353.674,408.71,101.516,5 de Septiembre 2013,3.204,0
8,DQ - 3,dique del cubeto de los tanques,353.661,396.652,101.47,5 de Septiembre 2013,3.204,0
8,DQ - 4,dique del cubeto de los tanques,355.97,391.029,101.43,5 de Septiembre 2013,3.204,0
8,DQ - 5,dique del cubeto de los tanques,373.781,373.166,101.439,5 de Septiembre 2013,3.204,0
8,DQ - 6,dique del cubeto de los tanques,385.414,361.592,101.468,5 de Septiembre 2013,3.204,0
8,DQ - 7,dique del cubeto de los tanques,398.809,348.22,101.503,5 de Septiembre 2013,3.204,0
8,DQ - 8,dique del cubeto de los tanques,409.318,337.812,101.532,5 de Septiembre 2013,3.204,0
8,DQ - 9,dique del cubeto de los tanques,453.226,334.875,101.545,5 de Septiembre 2013,3.204,0
8,DQ - 10,dique del cubeto de los tanques,461.872,334.866,101.526,5 de Septiembre 2013,3.204,0
8,DQ - 11,dique del cubeto de los tanques,468.079,337.519,101.527,5 de Septiembre 2013,3.204,0
8,DQ - 12,dique del cubeto de los tanques,477.66,347.117,101.522,5 de Septiembre 2013,3.204,0
8,DQ - 13,dique del cubeto de los tanques,488.005,357.379,101.415,5 de Septiembre 2013,3.204,0
8,DQ - 14,dique del cubeto de los tanques,494.208,363.554,101.377,5 de Septiembre 2013,3.204,0
8,DQ - 15,dique del cubeto de los tanques,501.129,370.63,101.502,5 de Septiembre 2013,3.204,0
8,DQ - 16,dique del cubeto de los tanques,507.598,376.924,101.54,5 de Septiembre 2013,3.204,0
8,PC - 1,borde cuneta perimetral,327.864,418.465,99.092,5 de Septiembre 2013,3.204,0
8,PC - 2,borde cuneta perimetral,330.009,392.044,98.203,5 de Septiembre 2013,3.204,0
8,PC - 3,borde cuneta perimetral,335.622,384.341,98.149,5 de Septiembre 2013,3.204,0
8,PC - 4,borde cuneta perimetral,360.353,359.657,98.166,5 de Septiembre 2013,3.204,0
8,PC - 5,borde cuneta perimetral,371.401,348.61,98.192,5 de Septiembre 2013,3.204,0
8,PC - 6,borde cuneta perimetral,395.717,324.333,98.288,5 de Septiembre 2013,3.204,0
8,PC - 7,borde cuneta perimetral,481.85,325.048,98.301,5 de Septiembre 2013,3.204,0
8,PC - 8,borde cuneta perimetral,490.424,333.63,98.26,5 de Septiembre 2013,3.204,0
8,PC - 9,borde cuneta perimetral,501.766,344.961,98.208,5 de Septiembre 2013,3.204,0
8,PC - 10,borde cuneta perimetral,509.463,352.656,98.177,5 de Septiembre 2013,3.204,0
8,PC - 11,borde cuneta perimetral,518.826,361.972,98.259,5 de Septiembre 2013,3.204,0
8,PC - 12,borde cuneta perimetral,530.024,373.209,98.31,5 de Septiembre 2013,3.204,0
8,SP - 1,soportes de concreto para tuberias,495.211,351.37,98.613,5 de Septiembre 2013,3.204,0
